granule_uid,obs_id,detection_type,mass,period,star_spec_type,semi_major_axis,radius
Kepler-65 e,7322,Radial Velocity,0.82,258.8,B,,
Kepler-66 b,1297,Primary Transit,0.047,17.815815,G0 V,0.1352,0.25
Kepler-67 b,1298,Primary Transit,0.047,15.7259,G9 V,0.1171,0.262
Kepler-68 b,1254,Primary Transit,0.02407,5.3988,,0.0617,0.206
Kepler-68 c,1255,Primary Transit,0.00642,9.6051,,0.09059,0.0827
Kepler-7 b,634,Primary Transit,0.441,4.8854892,,0.06067,1.622
Kepler-74 b,1128,Primary Transit,0.63,7.340711,F8 V,0.0781,0.96
Kepler-75 b,1267,Primary Transit,10.1,8.8849116,K0 V,0.0818,1.05
Kepler-76 b,1306,Other,2.01,1.5449298,F,0.0274,1.36
Kepler-77 b,1374,Primary Transit,0.43,3.57878087,G5 V,0.04501,0.96
Kepler-78 b,1288,Primary Transit,0.00619,0.35500744,G,0.01,0.1
Kepler-79 b,1385,Primary Transit,0.0343,13.4845,,0.117,0.31
Kepler-79 c,1386,Primary Transit,0.019,27.4029,,0.187,0.332
Kepler-79 d,1387,Primary Transit,0.019,52.0902,,0.287,0.639
Kepler-79 e,1388,Primary Transit,0.013,81.0659,,0.386,0.311
Kepler-8 b,635,Primary Transit,0.59,3.5224991,,0.0474,1.416
Kepler-80 b,1160,Primary Transit,0.0218,7.05246,K5,0.0648,0.238
Kepler-80 c,1161,Primary Transit,0.02121,9.52355,K5,0.0792,0.244
Kepler-80 d,1162,Primary Transit,0.02124,3.07222,K5,0.0372,0.136
Kepler-80 e,1163,Primary Transit,0.01299,4.64489,K5,0.0491,0.143
Kepler-82 b,1394,Primary Transit,0.03823,26.44,,0.1683,0.363
Kepler-82 c,1395,Primary Transit,0.04373,51.54,,0.2626,0.476
Kepler-82 f,7161,TTV,0.06576,75.732,,0.3395,
Kepler-85 b,1370,Primary Transit,0.0465,8.306,,0.07891,0.176
Kepler-85 c,1371,Primary Transit,0.059,12.513,,0.10369,0.194
Kepler-87 b,1232,Primary Transit,1.02,114.73635,,0.481,1.204
Kepler-87 c,1233,Primary Transit,0.02,191.2318,,0.676,0.548
Kepler-88 d,7181,Radial Velocity,3.05,1403.0,G6 V,2.464,
Kepler-89 b,1203,Primary Transit,0.033,3.743208,,0.05119,0.153
Kepler-89 c,1204,Primary Transit,0.049,10.423648,,0.1013,0.385
Kepler-89 d,1205,Primary Transit,0.334,22.342989,,0.1684,1.005
Kepler-89 e,1206,Primary Transit,0.11,54.32031,,0.3046,0.585
Kepler-9 b,741,Primary Transit,0.13655,19.23891,,0.143,0.74
Kepler-9 c,742,Primary Transit,0.09408,38.9853,,0.227,0.721
Kepler-9 d,743,Primary Transit,0.016518264481,1.592851,,0.0273,0.146
Kepler-91 b,1491,Primary Transit,0.81,6.24658,K3,0.0731,1.367
Kepler-92 b,1346,Primary Transit,0.202,13.749,,,0.313
Kepler-92 c,1347,Primary Transit,0.019,26.723,,,0.232
Kepler-93 b,2275,Primary Transit,0.0143,4.72674,,0.053,0.14
Kepler-93 c,2489,Radial Velocity,3.0,1460.0,,16.6,
Kepler-94 b,2525,Primary Transit,0.034,2.50806,M0 V,,0.313
Kepler-94 c,2526,Radial Velocity,9.836,820.3,M0 V,,
Kepler-95 b,2529,Primary Transit,0.041,11.5231,,,0.305
Kepler-96 b,2490,Primary Transit,0.027,16.2385,,,0.238
Kepler-97 b,7380,Primary Transit,0.011,2.58664,G0V,,0.132
Kepler-97 c,7564,Radial Velocity,1.08,789.0,G0V,,
Kepler-98 b,7376,Primary Transit,0.011,1.54168,,,0.178
Kepler-99 b,7381,Primary Transit,0.019,4.60358,,,0.132
L 168-9 b,7276,Primary Transit,0.0145,1.4015,M1V,0.02091,0.124
L 98-59 b,6861,Primary Transit,0.0013,2.2531136,,0.02191,0.0758
L 98-59 c,6862,Primary Transit,0.00698,3.6906777,,0.0304,0.12356
L 98-59 d,6863,Primary Transit,0.0061,7.4507245,,0.0486,0.1357
LHS 1140 b,6561,Primary Transit,0.02196,24.736,M4.5,0.0936,0.15407
LHS 1140 c,6796,Primary Transit,0.00569,3.777931,M4.5,0.02675,0.11437
LHS 1478 b,7810,Primary Transit,0.00733,1.9495378,M3.5V,0.01848,0.1106
LHS 1678 b,7996,Primary Transit,0.00019,0.8602322,M2V,0.01251,0.06209
LHS 1678 c,7997,Primary Transit,0.00123,3.694237,M2V,0.0331,0.08761
LHS 1815 b,7310,Primary Transit,0.0132,3.81433,,0.0404,0.09707
LKCA 15 b,1017,Imaging,6.0,40000.0,K5V,15.7,
LP 714-47 b,7534,Primary Transit,0.0969,4.052037,M0V,0.0417,0.419
LP 890-9 b,8385,Primary Transit,0.0415,2.7299025,,0.01875,0.1178
LP 890-9 c,8386,Primary Transit,0.0796,8.457463,,0.03984,0.12196
LTT 1445A b,7150,Primary Transit,0.00903,5.3587657,M,0.03813,0.11643
LTT 1445A c,7378,Primary Transit,0.00485,3.1239035,M,0.0266,0.10233
LTT 3780 b,7301,Primary Transit,0.00982,0.7683881,M4V,0.012,0.11883
LTT 3780 c,7302,Primary Transit,0.0267,12.252048,M4V,0.077,0.205
LTT 9779 b,7171,Primary Transit,0.09225,0.792052,G8,0.01679,0.4211
MASCARA-1 b,6599,Primary Transit,3.7,2.14878,A8,0.043,1.5
MASCARA-3 b,7129,Primary Transit,5.18,5.5514926,F5,0.06971,1.272
MOA-2009-BLG-266L b,679,Microlensing,0.0327,2780.0,,3.2,
MOA-2009-BLG-387L b,815,Microlensing,2.6,1970.0,M,1.8,
NGTS-1 b,6660,Primary Transit,0.812,2.647298,M05,0.0326,1.33
NGTS-11 b,7403,Primary Transit,0.37,35.455285,,0.2,0.823
NGTS-12 b,7503,Primary Transit,0.208,7.532806,,0.0757,1.048
NGTS-13 b,7557,Primary Transit,4.84,4.119027,,0.0549,1.142
NGTS-14A b,7556,Primary Transit,0.092,3.5357173,K1V,0.0403,0.44
NGTS-15 b,7824,Primary Transit,0.751,3.27623,G6V,0.0441,1.1
NGTS-16 b,7825,Primary Transit,0.667,4.84532,G7V,0.0523,1.3
NGTS-17 b,7826,Primary Transit,0.764,3.24253,G4V,0.0391,1.24
NGTS-18 b,7827,Primary Transit,0.409,3.05125,G5V,0.0448,1.21
NGTS-2 b,6752,Primary Transit,0.67,4.5111204,F5V,0.0584,1.536
NGTS-20 b,8253,Primary Transit,2.98,54.18915,G1IV,0.313,1.07
NGTS-21 b,8425,Primary Transit,2.36,1.5433897,,0.0236,1.33
NGTS-3A b,6748,Primary Transit,2.38,1.6753728,G9V,0.023,1.48
NGTS-4 b,6833,Primary Transit,0.0648,1.3373508,,0.019,0.2837
NGTS-5 b,7093,Primary Transit,0.229,3.3569866,K2V,0.0382,1.136
NGTS-6 b,7083,Primary Transit,1.33,0.882058,,0.016623018,1.271
NGTS-8 b,7207,Primary Transit,0.93,2.4997,KOV,0.035,1.09
NGTS-9 b,7208,Primary Transit,2.9,4.43527,F8V,0.058,1.07
NN Ser (AB) c,751,Pulsar,6.91,5660.0,WD+M,5.38,
NN Ser (AB) d,609,Pulsar,2.28,2830.0,WD+M,3.39,
OGLE-2005-071L b,288,Microlensing,3.5,3600.0,,3.6,
OGLE-2005-390L b,315,Microlensing,0.017,3500.0,M,2.1,
OGLE-2006-109L b,451,Microlensing,0.727,1790.0,,2.3,
OGLE-2006-109L c,452,Microlensing,0.271,4931.0,,4.5,
OGLE-2016-BLG-1190L b,6659,Microlensing,13.38,1223.6,,2.17,
OGLE-2018-BLG-0740L b,7106,Microlensing,4.5,3100.0,,4.2,
OGLE-TR-10 b,248,Primary Transit,0.68,3.10129,G or K,0.04162,1.72
OGLE-TR-111 b,251,Primary Transit,0.54,4.01451,G or K,0.047,1.077
OGLE-TR-113 b,123,Primary Transit,1.24,1.4324772,K,0.0229,1.11
OGLE-TR-132 b,124,Primary Transit,1.17,1.689868,F,0.0306,1.23
OGLE-TR-182 b,431,Primary Transit,1.06,3.9791,,0.051,1.47
OGLE-TR-211 b,445,Primary Transit,0.75,3.67724,,0.051,1.26
OGLE-TR-56 b,1,Primary Transit,1.3,1.211909,G,0.0225,1.2
OGLE2-TR-L9 b,437,Primary Transit,4.34,2.4855335,F3,0.0404,1.614
Oph 98 b,7873,Imaging,7.8,8035500.0,M9-L1,200.0,1.86
PDS 70 b,6770,Imaging,7.0,45108.0,K7,22.7,
PDS 70 c,7123,Imaging,4.4,69945.0,K7,30.2,
PSR 1257 12 b,275,Pulsar,7e-05,25.262,PSR,0.19,
PSR B1620-26 (AB) b,235,Pulsar,2.5,36525.0,PSR,23.0,
PSR 1257 12 c,277,Pulsar,0.013,66.5419,PSR,0.36,
PSR 1257 12 d,236,Pulsar,0.012,98.2114,PSR,0.46,
PSR 1719-14 b,884,Pulsar,1.0,0.090706293,PSR,0.0044,0.4
PSR J1807-2459 A b,2458,Pulsar,9.4,0.07,PSR,,
PSR J2241-5236 b,2457,Pulsar,12.0,0.1456722395,PSR,,
Qatar-1 b,785,Primary Transit,1.294,1.42002504,K,0.02332,1.143
Qatar-10 b,7062,Primary Transit,0.736,1.645321,F7V,0.0286,1.534
Qatar-2 b,866,Primary Transit,2.494,1.33711647,K,0.02153,1.254
Qatar-6 A b,6684,Primary Transit,0.668,3.506189,K2V,0.0423,1.062
Qatar-7 b,6936,Primary Transit,1.88,2.032046,F4V,0.0352,1.7
Qatar-8 b,7060,Primary Transit,0.371,3.71495,GOV,0.0474,1.285
Qatar-9 b,7061,Primary Transit,1.19,1.540731,K5V,0.0234,1.009
SWEEPS-04 b,351,Primary Transit,3.8,4.2,,0.055,0.81
SWEEPS-11 b,358,Primary Transit,9.7,1.796,,0.03,1.13
TIC 172900988 (AB) b,7859,Pulsar,2.84,188.763,,0.867,0.9876
TIC 237913194 b,7514,Primary Transit,1.942,15.168865,,0.1207,1.117
TOI-1062 b,7851,Primary Transit,0.032,4.11412,,0.052,0.20198
TOI-1064 b,8056,Primary Transit,0.0425,6.443868,,0.06152,0.2308
TOI-1064 c,8057,Primary Transit,0.0079,12.226574,,0.09429,0.23651
TOI-1075 b,8109,Primary Transit,0.013,0.6047328,,0.0118,0.1534
TOI-1107 b,8235,Primary Transit,3.35,4.0782387,,0.0561,1.3
TOI-1130 c,7326,Primary Transit,0.974,8.350381,K,0.07098,1.5
TOI-1136 b,8455,Primary Transit,0.00947,4.17278,,,0.17
TOI-1136 c,8456,Primary Transit,0.019,6.25725,,,0.25685
TOI-1136 d,8457,Primary Transit,0.025,12.51937,,,0.4128
TOI-1136 e,8458,Primary Transit,0.017,18.7922,,,0.23544
TOI-1136 f,8459,Primary Transit,0.0261,26.3162,,,0.3462
TOI-1136 g,8460,Primary Transit,0.0151,39.5387,,,0.2257
TOI-1201 b,7979,Primary Transit,0.01976,2.4919863,M2V,0.0287,0.21545
TOI-122 b,7532,Primary Transit,0.0277,5.07803,,0.0392,0.2427
TOI-1231 b,7858,Primary Transit,0.0485,24.245586,M3V,0.1288,0.3256
TOI-1235 b,7382,Primary Transit,0.0186,3.444717,M0.5V,0.03826,0.15113
TOI-1238 b,8013,Primary Transit,0.01183,0.764597,,0.0139,0.1079
TOI-1238 c,8014,Primary Transit,0.02618,3.294736,,0.037,0.1882
TOI-1246 b,8180,Primary Transit,0.0255,4.30744,,0.049,0.2685
TOI-1246 c,8181,Primary Transit,0.0277,5.904144,,0.061,0.2239
TOI-1246 d,8182,Primary Transit,0.0167,18.6559,,0.131,0.3131
TOI-1246 e,8183,Primary Transit,0.0466,37.9216,,0.211,0.3372
TOI-125 b,7273,Primary Transit,0.0299,4.65382,K0V,0.05186,0.2432
TOI-125 c,7274,Primary Transit,0.02086,9.15059,K0V,0.0814,0.24614
TOI-125 d,7275,Primary Transit,0.0428,19.98,K0V,0.137,0.2614
TOI-1259A b,7555,Primary Transit,0.441,3.47798,,0.0407,1.022
TOI-1260 b,7841,Primary Transit,0.02709,3.12748,K6V,0.0366,0.20832
TOI-1260 c,7842,Primary Transit,0.03725,7.49325,K6V,0.0656,0.2516
TOI-1266 b,7421,Primary Transit,0.05,10.894843,M2,0.0736,0.2114
TOI-1266 c,7422,Primary Transit,0.0201,18.80151,M2,0.1058,0.1392
TOI-1268 b,8112,Primary Transit,0.29,8.1577094,K1-K2,0.072,0.82
TOI-1298 b,7934,Primary Transit,0.356,4.537164,,0.059,0.841
TOI-132 b,7205,Primary Transit,0.07183,2.1097008,G8V,0.026,0.306
TOI-1333 b,7552,Primary Transit,2.37,4.720219,,0.0626,1.396
TOI-1338 b,7260,Primary Transit,0.095,95.141,,0.4491,0.5986
TOI-1411 b,8102,Primary Transit,0.0079,1.4520358,K6V,0.023,0.1213
TOI-1422 b,8250,Primary Transit,0.028,12.9972,G2V,0.108,0.3533
TOI-1431 b/MASCARA-5 b,7848,Primary Transit,3.14,2.65022,AmC,0.047,1.508
TOI-1442 b,8101,Primary Transit,0.005,0.41,,0.0071,0.1044
TOI-1444 b,7861,Primary Transit,0.01218,0.4702694,,,0.12463
TOI-1452 b,8371,Primary Transit,0.01517,11.06201,M4,0.061,0.14917
TOI-1468 b,8376,Primary Transit,0.0101,1.8805136,M3.0V,0.0208,0.1142
TOI-1468 c,8377,Primary Transit,0.02089,15.532482,M3.0V,0.0849,0.18414
TOI-1478 b,7553,Primary Transit,0.847,10.180249,,0.0903,1.06
TOI-150 b,7036,Primary Transit,2.51,5.857487,F,0.0643,1.255
TOI-157 b,7320,Primary Transit,1.18,2.0845435,G9IV,0.0318,1.286
TOI-1601 b,7554,Primary Transit,0.99,5.331751,,0.06864,1.239
TOI-163 b,7149,Primary Transit,1.22,4.231306,F,0.058,1.489
TOI-1634 b,7829,Primary Transit,0.01545,0.989343,M2,0.01545,0.1597
TOI-1669 b,8399,Primary Transit,0.0132,2.68005,G5,,0.214
TOI-1670 b,8140,Primary Transit,0.0434,10.98462,,0.103,0.1838
TOI-1670 c,8141,Primary Transit,0.63,40.74976,,0.249,0.987
TOI-1685 b,7816,Primary Transit,0.01189,0.6691403,M3.0V,,0.152
TOI-169 b,7321,Primary Transit,0.791,2.2554477,G1V,0.03524,1.086
TOI-1693 b,8100,Primary Transit,0.0088,1.7666957,,0.0226,0.1258
TOI-1694 b,8400,Primary Transit,0.0979,3.77015,,,0.4853
TOI-1696 b,8138,Primary Transit,0.1787,2.50031,,0.0235,0.2891
TOI-1710 b,8172,Primary Transit,0.089,24.283429,G5V,0.16,0.4764
TOI-172 b,7010,Primary Transit,5.41,9.47721,,0.0913,0.965
TOI-1728 b,7428,Primary Transit,0.08426,3.49151,,0.0391,0.4505
TOI-1749 b,8390,Primary Transit,0.06,2.38839,M0V,0.0291,0.124
TOI-1749 c,8391,Primary Transit,0.0066,4.4929,M0V,0.0443,0.1891
TOI-1749 d,8392,Primary Transit,0.0135,9.0497,M0V,0.0707,0.2248
TOI-1759 b,8115,Primary Transit,0.0214,18.849975,M0V,0.1176,0.273
TOI-178 b,6858,Primary Transit,0.00472,1.914558,,0.02607,0.10278
TOI-178 c,6859,Primary Transit,0.01501,3.23845,,0.037,0.1489
TOI-178 d,6860,Primary Transit,0.00947,6.5577,,0.0592,0.22946
TOI-178 e,7524,Primary Transit,0.01214,9.961881,,0.0783,0.1969
TOI-178 f,7525,Primary Transit,0.02429,15.231915,,0.1039,0.20403
TOI-178 g,7526,Primary Transit,0.0124,20.7095,,0.1275,0.256
TOI-1789 b,7902,Primary Transit,0.7,3.208666,,0.04873,1.4
TOI-179 b,8431,Primary Transit,0.0758,4.1374386,,0.0476,0.2436
TOI-1807 b,7926,Primary Transit,0.00714,0.549229,,0.0135,0.1222
TOI-1811 b,8204,Primary Transit,0.974,3.7130818,,0.04393,1.0
TOI-1820 b,8188,Primary Transit,2.3,4.8607,,0.069,1.12
TOI-1842 b,8023,Primary Transit,0.214,9.5739,,0.1,1.04
TOI-1860 b,8099,Primary Transit,0.0069,1.062107,G5V,0.0204,0.1169
TOI-1899 b,7433,Primary Transit,0.66,29.02,M0,0.1587,1.37
TOI-2000 b,8422,Primary Transit,0.0324,3.098331,,0.0426,0.2355
TOI-2000 c,8423,Primary Transit,0.2382,9.1270553,,0.0875,0.711
TOI-201 b,7819,Primary Transit,0.42,52.97818,F6V,0.3,1.0
TOI-2025 b,8189,Primary Transit,4.4,8.872086,,0.089,1.12
TOI-206 b,8108,Primary Transit,0.0069,0.7363104,,0.0112,0.116
TOI-2081 b,8240,Primary Transit,0.016,10.50534,M1,0.0752,0.182
TOI-2109 b,8012,Primary Transit,5.02,0.67247414,F0,,1.347
TOI-2136 b,8134,Primary Transit,0.0148,7.85191,,0.054,0.1865
TOI-2145 b,8205,Primary Transit,5.35,10.261081,,0.1108,1.103
TOI-2152 b,8206,Primary Transit,2.83,3.3773512,,0.05064,1.281
TOI-2154 b,8207,Primary Transit,0.92,3.6240801,,0.0513,1.453
TOI-2158 b,8190,Primary Transit,0.82,8.60077,,0.074,0.96
TOI-216 b,7013,Primary Transit,0.059,17.0968,,0.1293,0.6861
TOI-216 c,7014,Primary Transit,0.56,34.5516,,0.2068,0.901
TOI-2180 b,8061,Primary Transit,2.755,260.158,,0.828,1.01
TOI-2193 b,8217,Primary Transit,0.94,2.1225735,,0.03319,1.77
TOI-2196 b,8369,Primary Transit,0.082,1.1947268,,0.02234,0.3131
TOI-220 b,7853,Radial Velocity,0.0428,10.695264,,0.0892,0.2694
TOI-2202 b,7954,Primary Transit,0.978,11.9101,K8V,0.09564,1.0
TOI-2202 c,7955,TTV,0.369,24.6744,K8V,0.15544,
TOI-2207 b,8218,Primary Transit,0.64,8.001968,,0.0854,0.995
TOI-2236 b,8219,Primary Transit,1.58,3.5315902,,0.05,1.282
TOI-2257 b,8000,Primary Transit,0.0179,35.189346,M3,0.145,0.19574
TOI-2260 b,8098,Primary Transit,0.011,0.3524728,,0.0097,0.1445
TOI-2285 b,7995,Primary Transit,0.0614,27.26955,,0.1363,0.1552
TOI-237 b,7531,Primary Transit,0.009,5.436098,,0.0341,0.1285
TOI-2406 b,7941,Primary Transit,0.0286,3.0766896,M4V,0.0228,0.2623
TOI-2411 b,8096,Primary Transit,0.0123,0.7826942,K5V,0.0144,0.1499
TOI-2421 b,8220,Primary Transit,0.333,4.474032,,0.0543,0.924
TOI-2427 b,8095,Primary Transit,0.0129,1.3060011,K,0.0202,0.161
TOI-2445 b,8094,Primary Transit,0.006,0.3711281,M,0.0064,0.1115
TOI-2497 b,8208,Primary Transit,5.21,10.655661,,0.1167,1.0
TOI-251 b,7539,Primary Transit,1.0,4.93777,,0.05741,0.2444
TOI-2567 b,8221,Primary Transit,0.2,5.983944,,0.0672,0.975
TOI-257 b,7271,Primary Transit,0.134,18.38827,F8/G0V,0.1523,0.626
TOI-269 b,7850,Primary Transit,0.0277,3.6977104,M2V,0.0345,0.2471
TOI-270 b,7048,Primary Transit,0.006,3.36008,M3.0V,0.0306,0.11125
TOI-270 c,7049,Primary Transit,0.0208,5.660172,M3.0V,0.0472,0.2159
TOI-270 d,7050,Primary Transit,0.017,11.38014,M3.0V,0.0733,0.19
TOI-3331 b,8222,Primary Transit,2.27,2.0180231,,0.03144,1.158
TOI-3362 b,7973,Primary Transit,5.029,18.09547,G5,0.153,1.142
TOI-3540 b,8223,Primary Transit,1.18,3.119999,,0.04289,2.1
TOI-3629 b,8092,Primary Transit,0.26,3.936551,,0.043,0.74
TOI-3693 b,8224,Primary Transit,1.02,8.088516,,0.081,1.124
TOI-3714 b,8091,Primary Transit,0.7,2.154849,,0.027,1.01
TOI-3757 b,8147,Primary Transit,0.2684,3.438753,,0.03845,1.07
TOI-402 b,7046,Primary Transit,0.0227,4.75642,,0.05245,0.1516
TOI-402 c,7047,Primary Transit,0.02766,17.1784,,0.1235,0.225
TOI-4137 b,8225,Primary Transit,1.01,3.8016122,,0.05222,1.211
TOI-4138 b,7983,Primary Transit,0.67,3.660028,,0.051,1.49
TOI-431 b,7948,Primary Transit,0.00966,0.490047,,0.0113,0.1142
TOI-431 c,7949,Radial Velocity,2.84,4.8494,,0.052,
TOI-431 d,7950,Primary Transit,0.0311,12.46103,,0.098,0.2935
TOI-4479 b,8239,Primary Transit,0.0261,1.1589,M3,0.0164,0.2516
TOI-4562 b,8378,Primary Transit,3.29,225.11757,F7V,0.771,1.072
TOI-500 b,8107,Primary Transit,0.005,0.5481579,,0.0128,0.1035
TOI-5153 b,8254,Primary Transit,3.26,20.33003,F8V,0.158,1.06
TOI-5205 b,8414,Primary Transit,1.08,1.630757,M4.0,0.0199,1.035
TOI-530 b,7984,Primary Transit,0.4,6.387597,,0.052,0.83
TOI-532 b,7939,Primary Transit,0.1935,2.32666508,,0.0296,0.5192
TOI-544 b,8104,Primary Transit,0.016,1.548351,,0.0251,0.1811
TOI-5542 b,8424,Primary Transit,1.32,75.12375,,0.332,1.009
TOI-558 b,7799,Primary Transit,3.61,14.574071,,0.1291,1.086
TOI-559 b,7800,Primary Transit,6.01,6.9839095,,0.0723,1.091
TOI-561 b,7486,Primary Transit,0.00705,0.4465688,,0.0106,0.1222
TOI-561 c,7487,Primary Transit,0.0208,10.778831,,0.089,0.2596
TOI-561 d,7529,Primary Transit,0.03823,25.7124,,0.159,0.2516
TOI-561 e,7530,Primary Transit,0.0428,77.03,,0.33,0.2275
TOI-564 b,7255,Primary Transit,1.463,1.651144,,0.02734,1.02
TOI-620 b,8158,Primary Transit,0.0485,5.0988179,M2.5V,0.04825,0.3354
TOI-628 b,7550,Primary Transit,6.33,3.4095675,,0.0486,1.06
TOI-640 b,7551,Primary Transit,0.88,5.0037775,,0.06608,1.771
TOI-674 b,7891,Primary Transit,0.0739,1.977143,,0.0231,0.4693
TOI-677 b,7211,Primary Transit,1.236,11.2366,,0.1038,1.179
TOI-700 b,7257,Primary Transit,0.00406,9.97701,M2V,0.0637,0.0901
TOI-700 c,7258,Primary Transit,0.0249,16.051998,M2V,0.0925,0.2346
TOI-700 d,7259,Primary Transit,0.00711,37.426,M2V,0.163,0.1062
TOI-712 b,8002,Primary Transit,0.0176,9.531361,,0.07928,0.1828
TOI-712 c,8003,Primary Transit,0.0274,51.69906,,0.2447,0.241
TOI-712 d,8004,Primary Transit,0.0236,84.8396,,0.3405,0.22072
TOI-763 b,7473,Primary Transit,0.0308,5.6057,,0.06,0.2034
TOI-763 c,7474,Primary Transit,0.02932,12.2737,,0.1,0.2346
TOI-776 b,7491,Primary Transit,0.01466,8.24664,M1V,0.0652,0.1633
TOI-776 c,7492,Primary Transit,0.0192,15.6653,M1V,0.1,0.1838
TOI-824 b,7485,Primary Transit,0.058104,1.392978,K4V,0.02177,0.26104
TOI-833 b,8106,Primary Transit,0.006,1.04318777,M0V,0.0171,0.1133
TOI-836 b,8373,Primary Transit,0.01425,3.81673,,0.0422,0.15202
TOI-836 c,8374,Primary Transit,0.0302,8.59545,,0.075,0.2308
TOI-849 b,7332,Primary Transit,0.12299,0.76552414,G,0.01598,0.30726
TOI-905 b,7256,Primary Transit,0.667,3.739494,,0.04666,1.171
TOI-942 b,7537,Primary Transit,2.599,4.32419,,0.04796,0.4291
TOI-942 c,7538,Primary Transit,2.501,10.15643,,0.0847,0.5166
TOI-954 b,7528,Primary Transit,0.174,3.6849729,,0.04963,0.852
TOI-969 b,8453,Primary Transit,0.0286,1.8237305,K,0.02636,0.24668
TRAPPIST-1 b,2630,Primary Transit,0.0027,1.51087081,M8,0.01111,0.09689
TRAPPIST-1 c,2631,Primary Transit,0.00434,2.4218233,M8,0.01521,0.09421
TRAPPIST-1 d,2632,Primary Transit,0.0013,4.04961,M8,0.02144,0.0689
TRAPPIST-1 e,6526,Primary Transit,0.002,6.099615,M8,0.02817,0.0819
TRAPPIST-1 f,6527,Primary Transit,0.0021,9.20669,M8,0.0371,0.09323
TRAPPIST-1 g,6528,Primary Transit,0.00422,12.35294,M8,0.0451,0.1005
TRAPPIST-1 h,6529,Primary Transit,0.001041,20.0,M8,0.063,0.0674
TVLM 513-46546 b,7453,Astrometry,0.38,220.0,M8.5V,0.3,
TrES-1 b,246,Primary Transit,0.761,3.0300722,K0V,0.0393,1.099
TrES-2 A b,344,Primary Transit,1.253,2.4706133738,G0V,0.03555,1.189
TrES-4 b,414,Primary Transit,0.917,3.5539268,F,0.05084,1.706
TrES-5 b,910,Primary Transit,1.778,1.4822446,,0.02446,1.209
V 1298 Tau b,7029,Primary Transit,2.2,24.1382,K0-K1.5,0.1688,0.8217
V391 Peg b,374,Pulsar,3.2,1170.0,sdB,1.7,
WASP-10 b,464,Primary Transit,3.16,3.0927616,K5,0.0371,1.08
WASP-103 b,1499,Primary Transit,1.49,0.925542,F8V,0.01985,1.528
WASP-104 b,2295,Primary Transit,1.272,1.7554137,G8,0.02918,1.137
WASP-106 b,2296,Primary Transit,1.925,9.289715,F9,0.0917,1.085
WASP-108 b,2321,Primary Transit,1.167,2.6755463,F9,0.0397,1.215
WASP-109 b,2322,Primary Transit,0.91,3.3190233,F4,0.0463,1.443
WASP-110 b,2323,Primary Transit,0.515,3.7783977,G9,0.0457,1.238
WASP-111 b,2324,Primary Transit,1.85,2.310965,F5,0.03914,1.442
WASP-112 b,2325,Primary Transit,0.88,3.0353992,G6,0.0382,1.191
WASP-113 b,3998,Primary Transit,0.475,4.54216874538,G1,0.05885,1.409
WASP-114 b,3999,Primary Transit,1.769,1.5487743,G0,0.02851,1.339
WASP-118 b,4020,Primary Transit,0.514,4.0460435,F6,0.05453,1.44
WASP-119 b,2550,Primary Transit,1.23,2.49979,G5,0.0363,1.4
WASP-12 b,459,Primary Transit,1.47,1.09141937,G0,0.02344,1.9
WASP-121 b,2410,Primary Transit,1.184,1.2749255,F6V,0.02544,1.865
WASP-124 b,2551,Primary Transit,0.6,3.37265,F9,0.0499,1.24
WASP-126 b,2552,Primary Transit,0.2841,3.2888,G2,0.0449,0.96
WASP-126 c,7158,TTV,0.202,7.63,G2,,
WASP-129 b,2553,Primary Transit,1.0,5.748145,G1,0.0628,0.93
WASP-13 b,466,Primary Transit,0.485,4.353011,G1V,0.05379,1.365
WASP-130 b,2614,Primary Transit,1.23,11.55098,G6,0.1012,0.89
WASP-131 b,2615,Primary Transit,0.27,5.322023,G0,0.0607,1.22
WASP-132 b,2616,Primary Transit,0.41,7.133514,K4,0.067,0.8966
WASP-133 b,2554,Primary Transit,1.16,2.176423,G4,0.0345,1.21
WASP-134 b,6967,Primary Transit,1.412,10.1467583,G4,0.0956,0.988
WASP-135 b,2471,Primary Transit,1.9,1.4013794,G5,0.0243,1.3
WASP-136 b,4009,Primary Transit,1.51,5.215357,,0.0661,1.38
WASP-137 b,6968,Primary Transit,0.681,3.9080284,G0,0.0519,1.27
WASP-138 b,4010,Primary Transit,1.22,3.634433,F9,0.0494,
WASP-139 b,2617,Primary Transit,0.117,5.924262,K0,0.062,0.8
WASP-14 b,467,Primary Transit,7.341,2.2437661,F5V,0.036,1.281
WASP-140 b,2618,Primary Transit,2.44,2.2359835,K0,0.0323,1.44
WASP-141 b,2619,Primary Transit,2.69,3.310651,F9,0.0469,1.21
WASP-142 b,2620,Primary Transit,0.84,2.052868,F8,0.0347,1.53
WASP-143 b,6969,Primary Transit,0.725,3.778873,G1,0.049,1.234
WASP-146 b,6970,Primary Transit,1.11,3.396944,G0,0.0451,1.228
WASP-147 b,6783,Primary Transit,0.275,4.60273,G4,0.0549,1.115
WASP-148 b,7395,Primary Transit,0.287,8.80345,,0.08215,0.756
WASP-15 b,468,Primary Transit,0.542,3.7520656,F7,0.0499,1.428
WASP-150 b,7383,Primary Transit,8.46,5.644207,,0.0694,1.07
WASP-151 b,6663,Primary Transit,0.31,4.533471,G1,0.055,1.13
WASP-153 b,6664,Primary Transit,0.39,3.332609,G0,0.048,1.55
